,lat,lon,landmask,pv_land_cover_urban_high,wind_land_cover_urban_medium_high,fed_and_state_protected,wind_slope_over_20p,config
34728,38.11155,-109.315735,1.0,0,0,0,0,def
34729,38.150707,-109.2225,1.0,0,0,0,0,def
34730,38.189777,-109.129166,1.0,0,0,0,0,def
34731,38.228767,-109.035706,1.0,0,0,0,1,def
34732,38.267677,-108.94212,1.0,0,0,0,0,def
34733,38.306507,-108.848434,1.0,0,0,0,0,def
34734,38.345245,-108.75462,1.0,0,0,0,1,def
34735,38.383915,-108.660706,1.0,0,0,0,0,def
34736,38.42248,-108.566666,1.0,0,0,0,1,def
34737,38.460987,-108.4725,1.0,0,0,0,1,def
34738,38.499393,-108.378235,1.0,0,0,0,1,def
34739,38.537716,-108.283844,1.0,0,0,0,0,def
34740,38.57596,-108.18935,1.0,0,0,0,1,def
34741,38.614117,-108.09473,1.0,0,0,0,0,def
34742,38.652187,-108.0,1.0,0,0,0,0,def
34743,38.69017,-107.90515,1.0,0,0,0,0,def
34744,38.728077,-107.81018,1.0,0,0,1,1,def
34745,38.7659,-107.71512,1.0,0,0,0,1,def
34746,38.803623,-107.61992,1.0,0,0,0,0,def
34747,38.84127,-107.5246,1.0,0,0,0,1,def
34748,38.87884,-107.429184,1.0,0,0,0,1,def
34749,38.916317,-107.33365,1.0,0,0,0,1,def
34750,38.95371,-107.23799,1.0,0,0,1,1,def
34751,38.991013,-107.14223,1.0,0,0,1,1,def
34752,39.02823,-107.04634,1.0,0,0,0,1,def
34753,39.065357,-106.95035,1.0,0,0,1,0,def
34754,39.1024,-106.85423,1.0,0,0,1,1,def
34755,39.13936,-106.75801,1.0,0,0,0,1,def
34756,39.176224,-106.66167,1.0,0,0,1,1,def
34757,39.213013,-106.565216,1.0,0,0,1,1,def
34758,39.249695,-106.46864,1.0,0,0,0,1,def
34759,39.2863,-106.37195,1.0,0,0,0,1,def
34760,39.322823,-106.27516,1.0,0,0,0,0,def
34761,39.359264,-106.17825,1.0,0,0,0,0,def
34762,39.395607,-106.08122,1.0,0,0,0,1,def
34763,39.43186,-105.98407,1.0,0,0,0,0,def
34764,39.468014,-105.886826,1.0,0,0,0,1,def
34765,39.5041,-105.78946,1.0,0,0,0,1,def
34766,39.540085,-105.69197,1.0,0,0,1,1,def
34767,39.57598,-105.594376,1.0,0,0,1,0,def
34768,39.61179,-105.49667,1.0,0,0,1,1,def
34769,39.64751,-105.39885,1.0,0,0,0,1,def
34770,39.683136,-105.30092,1.0,0,0,0,0,def
34771,39.71868,-105.202866,1.0,1,1,0,0,def
34772,39.754128,-105.104706,1.0,0,1,0,0,def
34773,39.78948,-105.00644,1.0,0,1,0,0,def
34774,39.82475,-104.90805,1.0,0,0,0,0,def
34775,39.85992,-104.80954,1.0,0,0,0,0,def
34776,39.89501,-104.71094,1.0,0,0,0,0,def
34777,39.930008,-104.61221,1.0,0,0,0,0,def
34778,39.964905,-104.51337,1.0,0,0,0,0,def
34779,39.999714,-104.41443,1.0,0,0,0,0,def
34780,40.034443,-104.31537,1.0,0,0,0,0,def
34781,40.06906,-104.21619,1.0,0,0,0,0,def
34782,40.103592,-104.1169,1.0,0,0,0,0,def
34783,40.13805,-104.0175,1.0,0,0,0,0,def
34784,40.172386,-103.918,1.0,0,0,0,0,def
34785,40.206654,-103.81836,1.0,0,0,0,0,def
34786,40.240818,-103.71863,1.0,0,0,0,0,def
34787,40.27488,-103.618774,1.0,0,0,0,0,def
34788,40.308865,-103.51883,1.0,0,0,0,0,def
34789,40.342747,-103.41876,1.0,0,0,0,0,def
34790,40.376534,-103.3186,1.0,0,0,0,0,def
34791,40.41023,-103.21832,1.0,0,0,0,0,def
34792,40.44384,-103.11792,1.0,0,0,0,0,def
34793,40.477352,-103.017395,1.0,0,0,0,0,def
34794,40.510765,-102.91678,1.0,0,0,0,0,def
34795,40.544086,-102.81604,1.0,0,0,0,0,def
34796,40.57731,-102.71521,1.0,0,0,0,0,def
34797,40.61044,-102.61426,1.0,0,0,0,0,def
34798,40.64348,-102.51318,1.0,0,0,0,0,def
34799,40.676414,-102.41202,1.0,0,0,0,0,def
34800,40.70926,-102.31073,1.0,0,0,0,0,def
34801,40.742012,-102.20935,1.0,0,0,0,0,def
34802,40.77467,-102.10785,1.0,0,0,0,0,def
34803,40.807217,-102.006226,1.0,0,0,0,0,def
34804,40.83968,-101.90454,1.0,0,0,0,0,def
34805,40.872044,-101.802704,1.0,0,0,0,0,def
34806,40.90432,-101.700745,1.0,0,0,0,0,def
34807,40.936478,-101.598724,1.0,0,0,0,0,def
34808,40.968563,-101.49658,1.0,0,0,0,0,def
34809,41.000538,-101.39429,1.0,0,0,0,0,def
34810,41.03242,-101.29193,1.0,0,0,0,0,def
34811,41.0642,-101.18945,1.0,0,0,0,0,def
34812,41.09589,-101.08688,1.0,0,0,0,0,def
34813,41.127476,-100.98419,1.0,0,0,0,0,def
34814,41.158955,-100.88138,1.0,0,0,0,0,def
34815,41.190346,-100.77847,1.0,0,0,0,0,def
34816,41.22164,-100.675476,1.0,0,0,0,0,def
34817,41.252846,-100.57233,1.0,0,0,0,0,def
34818,41.283943,-100.46912,1.0,0,0,0,0,def
34819,41.314934,-100.36578,1.0,0,0,0,0,def
34820,41.345833,-100.26233,1.0,0,0,0,0,def
34821,41.37663,-100.15878,1.0,0,0,0,0,def
34822,41.40733,-100.055115,1.0,0,0,0,0,def
34823,41.437923,-99.951385,1.0,0,0,0,0,def
34824,41.46843,-99.8475,1.0,0,0,0,0,def
34825,41.49883,-99.74353,1.0,0,0,0,0,def
34826,41.529133,-99.639465,1.0,0,0,0,0,def
34827,41.559326,-99.53528,1.0,0,0,0,0,def
34828,41.58943,-99.431,1.0,0,0,0,0,def
34829,41.61942,-99.3266,1.0,0,0,0,0,def
34830,30.591782,-123.40022,0.0,0,0,0,0,def
34831,30.641956,-123.32608,0.0,0,0,0,0,def
