gid,config
3481,def
3482,def
3483,def
3484,def
3485,def
3486,def
3487,def
3488,def
3489,def
3490,def
3491,def
3492,def
3493,def
3494,def
3495,def
3496,def
3497,def
3498,def
3499,def
3500,def
3501,def
3502,def
3503,def
3504,def
3505,def
3506,def
3507,def
3508,def
3509,def
3580,def
3581,def
3582,def
3583,def
3584,def
3585,def
3586,def
3587,def
3588,def
3589,def
3608,def
3609,def
3610,def
3611,def
3612,def
3613,def
3614,def
3615,def
3616,def
3617,def
3618,def
3619,def
3620,def
3621,def
3622,def
3623,def
3624,def
3625,def
3626,def
3627,def
3628,def
3629,def
3630,def
3631,def
3632,def
3633,def
3634,def
3635,def
3636,def
3637,def
3638,def
3639,def
3640,def
3641,def
3642,def
3643,def
3644,def
3645,def
3646,def
3647,def
3648,def
3649,def
3650,def
3651,def
3652,def
3653,def
3654,def
3655,def
3656,def
3657,def
3658,def
3659,def
3660,def
3661,def
3662,def
3663,def
3664,def
3665,def
3666,def
3667,def
3668,def
3669,def
3670,def
3671,def
3672,def
3673,def
3674,def
3675,def
3676,def
3677,def
3678,def
3679,def
3680,def
3681,def
3682,def
3683,def
3684,def
3685,def
3686,def
3687,def
3688,def
3689,def
3690,def
3691,def
3692,def
3693,def
3694,def
3695,def
3696,def
3697,def
3698,def
3699,def
3700,def
3701,def
3702,def
3703,def
3704,def
3705,def
3706,def
3707,def
3708,def
3709,def
3710,def
3711,def
3712,def
3713,def
3714,def
3715,def
3716,def
3717,def
3718,def
3719,def
3720,def
3721,def
3722,def
3723,def
3724,def
3725,def
3726,def
3727,def
3728,def
3729,def
3730,def
3731,def
3732,def
3733,def
3734,def
3735,def
3736,def
3737,def
3738,def
3739,def
3740,def
3741,def
3742,def
3743,def
3744,def
3745,def
3746,def
3747,def
3748,def
3749,def
3750,def
3751,def
3752,def
3753,def
3754,def
3755,def
3756,def
3757,def
3758,def
3759,def
3760,def
3761,def
3762,def
3763,def
3764,def
3765,def
3766,def
3767,def
3768,def
3769,def
3770,def
3771,def
3772,def
3773,def
3774,def
3775,def
3776,def
3777,def
3778,def
3779,def
3849,def
3850,def
3851,def
3852,def
3853,def
3854,def
3855,def
3856,def
3857,def
3858,def
3859,def
3877,def
3878,def
3879,def
3880,def
3881,def
3882,def
3883,def
3884,def
3885,def
3886,def
3887,def
3888,def
3889,def
3890,def
3891,def
3892,def
3893,def
3894,def
3895,def
3896,def
3897,def
3898,def
3899,def
3900,def
3901,def
3902,def
3903,def
3904,def
3905,def
3906,def
3907,def
3908,def
3909,def
3910,def
3911,def
3912,def
3913,def
3914,def
3915,def
3916,def
3917,def
3918,def
3919,def
3920,def
3921,def
3922,def
3923,def
3924,def
3925,def
3926,def
3927,def
3928,def
3929,def
3930,def
3931,def
3932,def
3933,def
3934,def
3935,def
3936,def
3937,def
3938,def
3939,def
3940,def
3941,def
3942,def
3943,def
3944,def
3945,def
3946,def
3947,def
3948,def
3949,def
3950,def
3951,def
3952,def
3953,def
3954,def
3955,def
3956,def
3957,def
3958,def
3959,def
3960,def
3961,def
3962,def
3963,def
3964,def
3965,def
3966,def
3967,def
3968,def
3969,def
3970,def
3971,def
3972,def
3973,def
3974,def
3975,def
3976,def
3977,def
3978,def
3979,def
3980,def
3981,def
3982,def
3983,def
3984,def
3985,def
3986,def
3987,def
3988,def
3989,def
3990,def
3991,def
3992,def
3993,def
3994,def
3995,def
3996,def
3997,def
3998,def
3999,def
4000,def
4001,def
4002,def
4003,def
4004,def
4005,def
4006,def
4007,def
4008,def
4009,def
4010,def
4011,def
4012,def
4013,def
4014,def
4015,def
4016,def
