gid,config
9262,def
9263,def
9264,def
9265,def
9266,def
9267,def
9268,def
9269,def
9270,def
9271,def
9272,def
9273,def
9274,def
9275,def
9276,def
9277,def
9278,def
9279,def
9280,def
9281,def
9282,def
9283,def
9284,def
9285,def
9286,def
9287,def
9288,def
9289,def
9290,def
9291,def
9292,def
9293,def
9294,def
9295,def
9296,def
9297,def
9298,def
9299,def
9300,def
9301,def
9302,def
9477,def
9478,def
9479,def
9480,def
9481,def
9482,def
9483,def
9484,def
9485,def
9486,def
9487,def
9488,def
9489,def
9490,def
9491,def
9492,def
9493,def
9494,def
9495,def
9496,def
9497,def
9498,def
9499,def
9500,def
9501,def
9502,def
9503,def
9504,def
9505,def
9506,def
9507,def
9508,def
9509,def
9510,def
9511,def
9512,def
9513,def
9514,def
9515,def
9516,def
9517,def
9518,def
9519,def
9520,def
9521,def
9522,def
9523,def
9524,def
9525,def
9526,def
9527,def
9528,def
9529,def
9530,def
9531,def
9532,def
9533,def
9534,def
9535,def
9536,def
9537,def
9538,def
9539,def
9540,def
9541,def
9542,def
9543,def
9544,def
9545,def
9720,def
9721,def
9722,def
9723,def
9724,def
9725,def
9726,def
9727,def
9728,def
9729,def
9730,def
9731,def
9732,def
9733,def
9734,def
9735,def
9736,def
9737,def
9738,def
9739,def
9740,def
9741,def
9742,def
9743,def
9744,def
9745,def
9746,def
9747,def
9748,def
9749,def
9750,def
9751,def
9752,def
9753,def
9754,def
9755,def
9756,def
9757,def
9758,def
9759,def
9760,def
9761,def
9762,def
9763,def
9764,def
9765,def
9766,def
9767,def
9768,def
9769,def
9770,def
9771,def
9772,def
9773,def
9774,def
9775,def
9776,def
9777,def
9778,def
9779,def
9780,def
9781,def
9782,def
9783,def
9784,def
9785,def
9786,def
9787,def
9963,def
9964,def
9965,def
9966,def
9967,def
9968,def
9969,def
9970,def
9971,def
9972,def
9973,def
9974,def
9975,def
9976,def
9977,def
9978,def
9979,def
9980,def
9981,def
9982,def
9983,def
9984,def
9985,def
9986,def
9987,def
9988,def
9989,def
9990,def
9991,def
9992,def
9993,def
9994,def
9995,def
9996,def
9997,def
9998,def
9999,def
10000,def
10001,def
10002,def
10003,def
10004,def
10005,def
10006,def
10007,def
10008,def
10009,def
10010,def
10011,def
10012,def
10013,def
10014,def
10015,def
10016,def
10017,def
10018,def
10019,def
10020,def
10021,def
10022,def
10023,def
10024,def
10025,def
10026,def
10027,def
10028,def
10029,def
10030,def
10206,def
10207,def
10208,def
10209,def
10210,def
10211,def
10212,def
10213,def
10214,def
10215,def
10216,def
10217,def
10218,def
10219,def
10220,def
10221,def
10222,def
10223,def
10224,def
10225,def
10226,def
10227,def
10228,def
10229,def
10230,def
10231,def
10232,def
10233,def
10234,def
10235,def
10236,def
10237,def
10238,def
10239,def
10240,def
10241,def
10242,def
10243,def
10244,def
10245,def
10246,def
10247,def
10248,def
10249,def
10250,def
10251,def
10252,def
10253,def
10254,def
10255,def
10256,def
10257,def
10258,def
10259,def
10260,def
10261,def
10262,def
10263,def
10264,def
10265,def
10266,def
10267,def
10268,def
10269,def
10270,def
10271,def
10272,def
10273,def
10449,def
10450,def
10451,def
10452,def
10453,def
10454,def
10455,def
10456,def
10457,def
10458,def
10459,def
10460,def
10461,def
10462,def
10463,def
10464,def
10465,def
10466,def
10467,def
10468,def
10469,def
10470,def
10471,def
10472,def
10473,def
10474,def
10475,def
10476,def
10477,def
10478,def
10479,def
10480,def
10481,def
10482,def
10483,def
10484,def
10485,def
10486,def
10487,def
10488,def
10489,def
10490,def
10491,def
10492,def
10493,def
10494,def
10495,def
10496,def
10497,def
10498,def
10499,def
10500,def
10501,def
10502,def
10503,def
10504,def
10505,def
10506,def
10507,def
10508,def
10509,def
10510,def
10511,def
10512,def
10513,def
10514,def
10515,def
10516,def
10692,def
10693,def
10694,def
10695,def
10696,def
